data_pregao,codigo_bdi,codigo_negociacao,tipo_mercado,nome_empresa,especificacao_papel,moeda,preco_abertura,preco_maximo,preco_minimo,preco_medio,preco_ultimo,preco_melhor_oferta_compra,preco_melhor_oferta_venda,numero_negocios,quantidade_total,volume_total
20030212,96,EBTP4F,020,EMBRATEL PAR,PN *,R$,3.1,3.12,3.01,3.09,3.12,3.01,3.14,37,679498,2100.51
20030212,96,EBTP3F,020,EMBRATEL PAR,ON *,R$,3.66,3.85,3.56,3.62,3.64,3.65,4.18,27,800783,2903.45
20030212,02,EBTP3,010,EMBRATEL PAR,ON *,R$,3.68,3.73,3.58,3.62,3.63,3.63,3.68,163,319900000,1159516.0
20030212,96,DURA4F,020,DURATEX,PN *,R$,46.0,47.2,46.0,46.06,47.2,47.2,50.0,4,152476,7105.64
20030212,96,ELET3F,020,ELETROBRAS,ON *,R$,17.99,18.3,17.99,18.01,18.3,17.9,18.6,5,204103,3676.99
20030212,02,ELET3,010,ELETROBRAS,ON *,R$,18.2,18.59,17.99,18.17,18.12,18.12,18.3,228,248500000,4515878.0
20030212,96,EKTR4F,020,ELEKTRO,PN *,R$,2.0,2.0,2.0,2.0,2.0,2.0,0.0,5,52132,104.26
20030212,02,EKTR4,010,ELEKTRO,PN *,R$,2.6,2.6,2.6,2.6,2.6,2.6,2.8,1,1500000,3900.0
20030212,96,EMBR4F,020,EMBRAER,PN,R$,11.16,11.3,11.1,11.15,11.1,11.3,11.95,23,679,7577.44
20030212,96,EMBR3F,020,EMBRAER,ON,R$,10.15,10.15,9.81,9.89,9.9,9.82,10.14,11,345,3414.02
20030212,96,EMAE4F,020,EMAE,PN *,R$,5.35,5.35,5.35,5.35,5.35,5.11,5.8,1,897,4.79
20030212,02,EMAE4,010,EMAE,PN *,R$,5.35,5.35,5.3,5.34,5.3,5.01,5.35,7,5200000,27815.0
20030212,96,ELPL4F,020,ELETROPAULO,PN *,R$,23.2,23.2,22.65,22.92,23.05,22.82,23.99,15,45549,1042.96
20030212,96,ELET6F,020,ELETROBRAS,PNB*,R$,18.7,18.95,18.45,18.71,18.85,18.8,18.95,30,810580,15168.59
20030212,02,ELET6,010,ELETROBRAS,PNB*,R$,18.75,19.0,18.35,18.71,18.9,18.9,19.0,592,709400000,13277065.0
20030212,96,ETER3F,020,ETERNIT,ON *,R$,280.0,280.0,280.0,280.0,280.0,250.0,0.0,1,800,224.0
20030212,02,ESTR4,010,ESTRELA,PN,R$,0.71,0.76,0.71,0.72,0.75,0.75,0.85,12,43000,30970.0
20030212,96,FFTL4F,020,FOSFERTIL,PN *,R$,10.0,10.0,9.65,9.9,9.65,9.7,9.9,6,100000,990.06
20030212,02,FESA4,010,FERBASA,PN *,R$,151.0,152.0,151.0,151.23,152.0,152.0,158.5,2,170000,25710.0
20030212,96,FNOR11F,020,FINOR,CI *,R$,1.15,1.34,1.15,1.24,1.34,1.15,1.34,4,934,1.14
20030212,14,FNOR11,010,FINOR,CI *,R$,1.28,1.35,1.28,1.32,1.35,1.31,1.4,13,39562000,52578.14
20030212,96,FNAM11F,020,FINAM,CI *,R$,0.15,0.15,0.11,0.13,0.11,0.11,0.15,2,804,0.1
20030212,14,FNAM11,010,FINAM,CI *,R$,0.13,0.13,0.12,0.12,0.12,0.12,0.13,5,40180000,4847.98
20030212,02,FLCL6,010,F CATAGUAZES,PNB*,R$,0.7,0.7,0.7,0.7,0.7,0.51,0.77,1,1000000,700.0
